Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Performance_Score
3826087012661391104,12.17851745780603,532.65697373,0.6751014185094156,12.925980130000028,58.333333333333336,63.0,108.0,10.453190766896846
3768170840939476993,8.779089104108492,243.66889897,0.4242774564031249,0.0,42.857142857142854,6.0,14.0,7.950412062131554
3977234346014419201,4.102463607193359,2427.2928308600003,0.3047358693024749,0.0,39.75903614457831,33.0,83.0,3.7207612693319465
4029507714735307777,3.422200917287123,1537.89995998,0.1958523633818955,0.0,3.7735849056603774,2.0,53.0,3.100756570087631
4023697881318718465,3.307649091012277,3151.95061998,0.2758701284486444,0.0,8.571428571428571,6.0,70.0,3.0014675357397054
4004713168329653760,3.210949034255438,1667.19861,0.27741111207010244,0.0,7.4074074074074066,2.0,27.0,2.914218436520001
4030708912786799105,3.201021189641979,1612.84376999,0.18414108868407542,0.0,3.3333333333333335,2.0,60.0,2.900401309695799
4023697433751327232,3.186034199387988,2408.2239999800004,0.30015934309004805,0.0,9.523809523809524,4.0,42.0,2.892901222756231
4039129759104249600,3.162479424560003,1264.28919972,0.5220426060771436,0.0,44.3609022556391,59.0,133.0,2.883170084611321
4029749871687083265,3.1705408328920717,3662.13654822,0.3538772369515272,0.0,42.873831775700936,367.0,856.0,2.881703338255414
4013978721149559808,3.1434690285838127,3778.8782239800003,0.16218865991701376,0.0,20.74829931972789,61.0,294.0,2.8472844578065897
4034786679304751616,3.0863578746042677,2521.07586938,0.20821777919657022,0.0,38.31775700934579,123.0,321.0,2.7981018703686975
4030392204221219329,3.064754308455062,1347.75800996,0.2007295988335892,0.0,9.411764705882353,8.0,85.0,2.7782023266040623
4031408429897920512,3.052549061581026,1351.26659997,0.1578306045851714,0.0,4.878048780487805,4.0,82.0,2.764948490889442
4029506971304830209,3.0493127697004287,2413.6540000200002,0.24490724451952647,1.2715041199999177,5.769230769230769,3.0,52.0,2.709474825932956
4037717032428033792,2.7371265036986876,1897.3229995000002,0.22211094110553858,0.0,32.17665615141956,102.0,317.0,2.483435714465505
4037785885739608577,2.735746861138148,1934.5792352600001,0.22307365285662156,0.0,23.228346456692915,59.0,254.0,2.4822398418988527
3983074113875692800,2.718941629745096,2424.8295199599997,0.36019860968207074,0.0,32.55813953488372,14.0,43.0,2.4741955565186706
4037073643537925121,2.593182325446432,1540.4004996200001,0.1644167759484143,0.0,18.609865470852018,83.0,446.0,2.3504396690812364
3944658614777849089,2.0835728712731334,2074.4499799600003,0.4074903672652917,0.0,44.44444444444444,20.0,45.0,1.9028576056327344
4017323550554338817,1.9572861271360744,3134.7351025000003,0.2132083276743787,0.0,50.091743119266056,273.0,545.0,1.7787034007038975
4035430878731345664,1.9099021490834953,2493.75041995,0.4696392626687299,0.0,48.31460674157304,43.0,89.0,1.7492492126923478
3936410995029308417,1.7910538387345118,10681.514000000001,0.29898370047919265,0.0,30.0,6.0,20.0,1.633041521579016
3891020560590657281,1.7434069462039081,2856.30056379,0.4324770259531958,0.0,64.75972540045767,283.0,437.0,1.5969554178509342
4038768306117031680,1.6535171946095013,1741.9142598800001,0.13502764686297253,0.0,22.0,22.0,100.0,1.50030497462165
4041860229502600193,1.3390372802971153,2327.33599982,0.4571934663380226,0.0,39.175257731958766,38.0,97.0,1.2330571545542557
4029422834086627072,1.2978312128944094,2799.9025498399997,0.5116182899882394,0.0,37.254901960784316,38.0,102.0,1.1986750514981543
3956048468100538880,1.1145612443640718,1373.56489,0.524861880311556,0.0,71.42857142857143,20.0,28.0,1.033853874215184
4019895412775450368,1.0534519107683362,2640.30025492,0.2847008949882415,0.0,42.38178633975482,242.0,571.0,0.9661746566678914
4039279455324236544,1.0221011564380975,1038.8074192600002,0.4716836338542194,0.0,55.35168195718655,181.0,327.0,0.9475876987937956
4040843843196854529,0.9855234808570021,2151.70406,0.3416676069898303,0.0,32.20338983050847,19.0,59.0,0.9077919591780567
4031451549482615297,1.04245508307752,3124.54121527,0.22530212904555794,3.9002427300000004,38.59649122807017,44.0,114.0,0.7780647367885175
3986814617275053313,0.871628342633023,16337.46188064,0.32978656861679667,2.3819474699994316,78.22172200337648,2780.0,3554.0,0.6973858789054481
4037179073830813185,0.7267750755093776,2331.43490998,0.24056754653620313,0.0,42.465753424657535,31.0,73.0,0.6688591770935821
4033639786957934336,0.707492554507126,2848.14185731,0.21441244620886019,0.0,16.778523489932887,25.0,149.0,0.650084814000824
3819545518395756033,0.6898168266747995,980.06319996,0.21472291715119343,0.0,38.23529411764706,26.0,68.0,0.6341381170963023
4030565764341697025,0.8709829228719865,2789.8782899599996,0.33289916900470407,4.030795650000002,48.57142857142857,51.0,105.0,0.6229450284788619
4030555430101054209,0.6688799028035486,3358.38032001,0.3240861720995911,0.0,26.446280991735538,32.0,121.0,0.6209185268645053
4023616625178799873,0.7998545064176268,2087.7711930100004,0.25334428453106705,3.088799999999992,40.991535671100365,339.0,827.0,0.5968593491967159
4029299190618134272,0.6732096274305341,3354.1458763700007,0.2385430453330259,0.53788037,31.30434782608696,72.0,230.0,0.5962327793803616
3952087967771302912,0.6091955584654052,1032.60525986,0.1736691732688759,0.0,33.72093023255814,58.0,172.0,0.5591941541757512
4002413037164645377,2.492177630013401,3686.9697606,0.1257825271320603,38.33630992999997,18.57638888888889,107.0,576.0,0.5362248438925581
4036548677626662656,0.5616856610336963,3296.87667987,0.24267706977780504,0.0,46.25850340136054,68.0,147.0,0.5198776235656184
